NAME	DESCRIPTION	Naive WT 1	Naive WT 2	Naive KO 1	Naive KO 2	Activated WT	Activated KO	Memory WT	Memory KO	WT Foxp3+	KO Foxp3+
Copg	54161	3358.671078	1815.868314	3612.418558	2342.654556	5310.22816	5124.26394	1448.794126	1695.230776	1500.75404	1278.55535
Atp6v0d1	11972	2695.948168	3048.723262	2508.1301	3523.80452	2667.71628	2602.438142	2808.109228	2477.000002	2111.798458	1717.362622
Golga7	57437	8726.53954	4039.309684	7913.5563	4083.63931	11892.35056	12046.57026	3927.46268	4113.2308	4055.231302	3370.245492
Psph	100678	720.339458	1225.68457	1169.910844	1303.39752	2105.44541	1823.39145	998.668776	1058.769282	1033.279464	981.690068
Trappc4	60409	1685.616178	2672.604424	1770.28831	2538.902556	4223.8164	5047.43048	2028.626676	2163.308156	1937.136702	1611.771726
Dpm2	13481	1596.734408	2122.671648	1366.270954	1959.422172	2261.200758	2497.42082	1872.59738	1789.769402	1674.638426	1457.64127
Psmb5	19173	6789.5666	3556.30236	6081.19975	4341.470036	15436.27198	16013.76132	2972.002578	2824.30768	2878.926192	3061.19056
Dhrs1	52585	397.7158416	320.1886242	383.708426	510.06054	578.912619	440.693569	458.8165316	391.153862	384.380272	276.093556
Ppm1a	19042	5831.1186	2077.354122	4940.86456	2657.48578	6061.37478	6420.996724	1599.19476	1686.30793	1520.264658	1357.46007
Psenen	66340	10173.77382	9630.32374	11254.3455	10673.20352	8438.74762	8681.77324	7158.963056	7581.23192	6603.412644	6371.3556
Anapc1	17222	3071.273282	1497.687184	2530.72378	1723.27389	5096.7907	5440.73086	1136.818858	975.9231	1134.01892	757.309858
Mrpl43	94067	1064.808126	2485.405662	1432.90936	2571.881618	2027.890598	2283.766096	1776.496392	1798.384852	1550.812968	1579.099172
Xpo7	65246	1172.121742	699.940396	821.742842	712.720788	2064.729426	1814.731822	677.75379	436.307737	767.283578	675.37617
