"Cycles" "RefDil0.1" "RefDil0.2" "RefDil0.3" "RefDil1.1" "RefDil1.2" "RefDil1.3" "RefDil2.1" "RefDil2.2" "RefDil2.3" "RefDil3.1" "RefDil3.2" "RefDil3.3" "RefDil4.1" "RefDil4.2" "RefDil4.3" "RefDil5.1" "RefDil5.2" "RefDil5.3" "S1.1" "S1.2" "S1.3" "S2.1" "S2.2" "S2.3" "S3.1" "S3.2" "S3.3" "S4.1" "S4.2" "S4.3"
"1" 1 4.16319737696659 3.8476614419074 3.79733989744261 0.416319737696659 0.38476614419074 0.379733989744261 0.0416319737696659 0.038476614419074 0.0379733989744261 0.00416319737696659 0.0038476614419074 0.00379733989744261 0.000416319737696658 0.00038476614419074 0.000379733989744261 4.16319737696658e-05 3.8476614419074e-05 3.79733989744261e-05 0.0146515854784106 0.0145017227047746 0.0160070922448577 0.000140053071776659 0.000145613424655086 0.000150263511102558 0.00102957071226545 0.00109797673306131 0.00102869843401326 1.05961746129907 1.03729558712227 1.16341889382243
"2" 2 7.30478121666575 6.6058950080429 6.50853368411121 0.697453722804184 0.649851566675714 0.635936810349715 0.0705975875897332 0.0664989206240478 0.0652836559466107 0.00712348552497059 0.00648147518373986 0.00647175396893224 0.000704266239976238 0.00065774122095338 0.000650715408113191 7.0198130302407e-05 6.55628309255957e-05 6.42569989800718e-05 0.0249791816615406 0.0245153793436152 0.0270209452654179 0.000238172538329209 0.000246790346466828 0.000256979321362729 0.00179193023709809 0.00180625835686824 0.0017430637136839 1.79775576050009 1.7081077111037 1.9694752326792
"3" 3 12.8130015063573 11.3382016296299 11.1523193545143 1.1684005176188 1.09753908539945 1.06497128856952 0.119715797096281 0.11492941765677 0.112234994922102 0.0121887159098618 0.0109181927819727 0.0110297180327268 0.00119137018447457 0.00112438037666907 0.00111507144986984 0.000118365213985075 0.000111716814277183 0.000108733008329439 0.0425864412818807 0.0414435749547986 0.045612951913096 0.000405033297191407 0.0004182682649571 0.000439483747260013 0.00311878891404825 0.00297143728586271 0.00295350979702557 3.04986862227799 2.81254136583211 3.33372390796162
"4" 4 22.4623414779987 19.4512162787579 19.1002391114876 1.95725718278015 1.85355897108601 1.78338108349828 0.203006959688294 0.198630462942508 0.192952363118201 0.0208556212066809 0.0183919365311908 0.0187977827280475 0.00201537823024134 0.0019220798897567 0.00191079581518935 0.000199582577966799 0.000190361617354399 0.000183993451842051 0.0726045342364183 0.0700607981057116 0.0769972232253034 0.000688794645167103 0.000708894577667645 0.000751601178332 0.00542813708132692 0.00488824779996832 0.00500453256298282 5.17343201969131 4.63057303966268 5.64220647374565
"5" 5 39.3404450263927 33.3418140758696 32.6855231887134 3.27846257636947 3.13011314163927 2.98621317680096 0.344244311317268 0.343286807332134 0.331717551478944 0.0356851812461839 0.0309815993168575 0.0320367540361223 0.00340930899071605 0.00328571263749347 0.00327435551130214 0.000336527969350561 0.000324369660062108 0.000311346026234343 0.123781248635927 0.11843818029703 0.129975252315471 0.00117135567050161 0.00120145741275027 0.00128538158230661 0.00944747015884616 0.00804155004364177 0.00847985718617017 8.77378022388347 7.62240093707622 9.54700563223101
"6" 6 68.7841000311752 57.0708592672406 55.8548941558516 5.4908036931686 5.28516197476513 4.99974538141274 0.58373600030854 0.593283832887305 0.57027042579327 0.0610593252813874 0.0521890815636621 0.0545996450008441 0.00576734730164315 0.00561678322886451 0.00561096189333732 0.000567439672124543 0.000552714756204682 0.000526846721102228 0.211029804043758 0.200219468285758 0.219403785838594 0.00199199289447905 0.00203626870355191 0.00219824792142198 0.0164429627114279 0.0132289744413663 0.0143685655290086 14.8745140606676 12.543512880742 16.1478329619193
"7" 7 119.908749355516 97.4502778290535 95.2189215420825 9.1940472213733 8.92201789336097 8.3693546914582 0.989818971431833 1.02531612885437 0.980354210336064 0.104475612784354 0.0879132924245854 0.0930529532037177 0.00975631345273374 0.0096016450898167 0.00961498703012738 0.000956793501241908 0.000941806932662749 0.000891507962579597 0.359773372132753 0.338467820325797 0.370359869501492 0.00338755807283972 0.00345113346373723 0.00375942332593079 0.0286183310731086 0.0217626783817403 0.0243465844912835 25.2023587813136 20.6316146606835 27.2942944282837
"8" 8 207.956111439008 165.709712137942 161.661343810562 15.3892936661904 15.0560164245798 14.0054521332454 1.67833022735091 1.77188514169599 1.68526266917625 0.178762267562079 0.148090728317019 0.158587462082478 0.0165042279930696 0.0164135856002767 0.016476308185301 0.00161330589545102 0.0016048065537547 0.00150857239171796 0.613349342522307 0.572166668808885 0.625169207483299 0.00576083784566205 0.00584909076910483 0.00642933015019681 0.0498090195420137 0.0358012435856306 0.0412536388083991 42.6582567204643 33.9075468193533 46.0829514171568
"9" 9 357.440673495891 279.799211529233 272.564658310117 25.7433321847035 25.3916424503931 23.4244727028776 2.84556904686687 3.06184431547479 2.89682294360795 0.305867521276822 0.249458641763271 0.270274280022969 0.0279192916345916 0.0280582764072333 0.028233895506253 0.00272028994545847 0.00273453487230134 0.00255274278525122 1.04562508401798 0.967203217494976 1.05526335222719 0.00979680462877058 0.0099132226770343 0.0109953767024361 0.0866903465187262 0.0588956509714068 0.0699013848294309 72.0819078468712 55.652279605697 77.6573972336247
"10" 10 604.99753388625 466.843197329951 454.19829886766 43.019573726632 42.7781964667655 39.1429661660863 4.82403102488837 5.29027671765239 4.97879605997755 0.523341315741397 0.420208459675077 0.460612570800283 0.0472294716907024 0.0479642896515967 0.0483817053422787 0.0045868403434917 0.00465955232196002 0.00431964357653945 1.78248413845472 1.63491816675894 1.78117509197512 0.0166603094529275 0.0168012341170584 0.0188041760721409 0.150880058081305 0.0968873914484845 0.118442648873792 121.451075265632 91.1430446814711 130.446956232223
"11" 11 997.711618432843 763.620249255491 742.264315834804 71.766930541075 71.9445216440828 65.311260606149 8.1764545333432 9.1386783113235 8.5553426879223 0.895419752145214 0.707821156875864 0.784980138342666 0.0798952488422007 0.081992512568186 0.082906892600426 0.00773413894431389 0.00793971354560469 0.0073095172032779 3.03839318904853 2.76341273821571 3.00623411658324 0.0283322701892578 0.028475227489249 0.032158677590732 0.262597198168221 0.159385764013418 0.200691247904032 203.645232070001 148.735837856688 217.94591386313
"12" 12 1576.54996729984 1209.34090849908 1175.17390593574 119.383238678201 120.642718193801 108.70232220669 13.8539669208425 15.7809240881642 14.695927910076 1.53197328482004 1.19225642532159 1.33772733339757 0.135153539022144 0.140161559418179 0.142068748712533 0.0130409785149898 0.0135289885556275 0.0123688505064057 5.17855726185246 4.67032638340144 5.07328283762607 0.0481813723616943 0.0482605989521514 0.0549973167119042 0.457028579529668 0.262197700925728 0.340052012903062 338.707218697264 241.314323944626 360.880256333215
