"ERR127306" "ERR127307" "ERR127308" "ERR127309" "ERR127302" "ERR127303" "ERR127304" "ERR127305"
"MED6" 228 312 258 288 350 426 420 330
"SNORD127" 7 1 6 4 5 5 8 0
"SNORD126" 0 5 0 0 5 19 9 0
"SNORA11B" 5 10 9 4 3 0 1 1
"ZBTB42" 574 630 599 486 380 319 388 436
"KTN1-AS1" 72 75 70 72 40 64 90 90
"SLC25A21-AS1" 42 71 68 48 18 33 46 26
"LOC100288846" 22 21 24 18 7 6 10 2
"LOC100289511" 406 363 481 366 116 79 105 188
"MIR1247" 0 0 1 0 0 0 2 0
"PARP2" 693 838 774 750 1060 1100 1082 982
"MIR3173" 4 4 4 2 8 7 3 0
"MIR4308" 9 23 19 19 19 13 16 28
"MIR4307" 0 0 0 0 0 2 0 0
"LINC00645" 2 2 0 4 2 0 2 0
"LOC100506071" 0 2 0 0 0 0 0 0
"LOC100506321" 139 153 132 111 116 153 213 194
"LINC00871" 4 0 0 2 0 2 4 1
"LINC00648" 4 8 2 10 4 10 2 4
"LOC100506499" 6 2 2 12 4 6 4 6
"NEDD8-MDP1" 3193 3441 3419 3145 2702 3014 3595 3693
"BCL2L2-PABPN1" 2750 2789 2790 2786 2516 2404 3712 3348
"SYNJ2BP-COX16" 990 1188 1188 1074 1294 1526 888 660
"CHURC1-FNTB" 1749 2057 1968 1790 1654 1956 2260 2094
"MIR4505" 6 6 11 5 0 4 8 5
"MIR203B" 0 0 0 0 1 0 0 0
"MIR4709" 194 279 247 230 270 351 270 209
"MIR4503" 0 5 5 0 0 3 0 0
"MIR4710" 0 0 0 0 0 0 0 1
"MIR4707" 22 20 14 17 7 4 4 14
"MIR4706" 20 36 32 12 21 19 33 37
"DIO2-AS1" 60 59 54 81 85 104 57 41
"HIF1A-AS2" 309 452 300 480 451 651 491 298
"FRMD6-AS2" 0 0 0 0 2 0 0 0
"PTCSC3" 0 0 2 0 0 0 0 0
"LINC00609" 4 0 0 0 2 0 0 0
"BMS1P17" 132 177 157 125 88 131 138 102
"CNIH1" 2187 2801 2503 2487 3157 3618 2204 2287
"DHRS2" 82 94 112 110 172 142 81 84
"GPHN" 850 936 892 753 792 768 330 301
"CDKN3" 231 296 250 270 268 334 632 440
"IRF9" 604 586 558 524 454 394 493 447
"PRMT5" 3812 4386 4279 3747 3922 4358 5099 5087
"SEC23A" 3446 4212 3758 3641 2540 3234 1172 1022
"VTI1B" 368 404 362 399 337 405 573 528
"FBLN5" 670 702 802 652 724 698 424 396
"CEBPE" 0 2 2 8 0 0 0 2
"BATF" 0 0 0 0 0 2 0 0
"TM9SF1" 7226 7503 7594 6797 7414 7980 6019 6089
"SIVA1" 3816 3981 4293 3568 2644 1928 1955 2728
"NPC2" 2657 3166 2840 2574 2214 2462 2344 2464
"AHSA1" 3225 3566 3620 3340 4084 4310 5546 5530
"EXOC5" 429 575 493 566 689 906 770 504
"CGRRF1" 137 144 105 144 144 210 94 80
"CFL2" 534 770 592 666 714 944 1094 748
"CYP46A1" 0 0 2 2 2 0 0 0
"DHRS4" 1342 1514 1622 1439 909 880 1077 1253
"PAPOLA" 1922 2626 2202 2332 2954 3764 2422 1920
"ACOT2" 1924 1917 2126 1812 890 892 1403 1308
"TMED10" 9970 12232 11044 10856 13216 14635 8742 8468
"FERMT2" 2618 3530 3062 2946 3214 3838 4054 3481
"PTPN21" 814 848 904 817 674 786 1393 1561
"FOXN3" 510 588 578 640 1160 1212 1734 1436
"CHGA" 2 0 2 2 6 0 4 5
"AP4S1" 198 176 208 194 143 111 164 115
"C14orf1" 1156 1333 1239 1148 1575 1779 1846 1462
"WDHD1" 758 962 748 868 1208 1548 1354 1170
"BAZ1A" 1320 1660 1384 1590 1932 2412 2050 1578
"MAP4K5" 632 773 712 699 706 888 650 462
"SUPT16H" 2890 3681 3363 3234 5308 6252 3866 3408
"EGLN3" 812 744 794 740 504 516 634 556
"DTD2" 204 306 262 263 151 151 298 256
"IFT43" 529 546 514 428 409 376 422 428
"WDR89" 349 514 465 480 604 896 666 430
"L3HYPDH" 364 431 405 449 348 265 372 496
"AHNAK2" 19601 19578 21340 17886 16518 15928 9248 9398
"TRIM9" 4 2 4 4 0 4 2 4
"CKB" 31645 30725 32398 26389 24816 18506 25090 31509
"TRMT61A" 963 878 995 843 1059 785 1203 1382
"DHRS1" 1354 1499 1666 1297 1004 918 1462 1785
"MIA2" 11 4 6 13 2 2 2 0
"TDRD9" 1416 1629 1708 1469 984 1274 1516 1524
"ANKRD9" 1586 1354 1449 1467 444 250 499 739
"AK7" 10 8 14 8 6 6 12 4
"IFI27L1" 560 584 726 586 482 486 434 514
"C14orf28" 10 10 6 16 8 18 16 2
"TRAPPC6B" 276 300 290 312 268 418 238 236
"C14orf79" 408 461 524 455 394 309 303 289
"PLD4" 0 0 0 0 0 0 2 0
"ADSSL1" 608 642 680 590 458 360 2350 2455
"MRPL52" 444 472 426 412 340 438 498 388
"PSMB11" 0 2 4 2 0 0 0 0
"LRR1" 521 536 536 492 366 462 842 839
"KLHDC1" 4 6 0 2 2 0 3 2
"FRMD6" 210 220 208 184 182 228 160 84
"SOCS4" 552 744 644 640 720 898 586 496
"NAA30" 313 308 390 298 301 448 487 432
"NOXRED1" 6 8 20 10 26 40 14 12
"JDP2" 804 882 916 748 1068 928 1360 1276
"ISCA2" 171 227 226 182 143 146 142 160
"ACOT4" 0 0 0 3 2 2 0 4
"TTC8" 448 650 586 570 376 378 476 472
"TC2N" 12 26 12 28 32 16 30 40
"SLC25A29" 3998 3862 4276 3649 2110 1615 3611 3662
"DEGS2" 6 2 8 8 50 46 14 13
"LTB4R" 417 428 458 421 558 508 757 704
"CRIP1" 3614 3212 3883 3568 2362 2206 2252 2858
"CRIP2" 5552 5480 5942 5092 2350 1642 2702 3441
"LINC00239" 2 0 2 0 0 0 0 0
"LINC00637" 6 4 0 4 0 6 4 2
"RDH12" 4 8 2 2 8 18 4 6
"ADAM21P1" 6 12 10 14 20 28 8 4
"MIPOL1" 105 126 150 136 142 202 211 129
"PPP1R36" 0 2 2 6 4 2 4 6
"SLC38A6" 266 444 343 350 308 416 303 204
"C14orf37" 1492 1902 1668 1734 1966 2456 2222 1794
"FRMD6-AS1" 4 4 4 4 4 3 6 0
"ABHD12B" 2 14 0 14 39 36 26 21
"LOC145474" 10 2 4 4 3 0 0 2
"PTGR2" 246 354 270 263 315 403 647 528
"FAM161B" 75 104 122 102 39 33 59 35
"ISM2" 0 0 0 0 0 2 0 2
"CEP128" 216 248 206 182 244 280 218 164
"MDP1" 146 166 194 114 63 82 91 108
"TTC7B" 1967 1838 2346 1562 790 678 1060 1678
"LRFN5" 0 0 0 0 0 0 0 1
"DAD1" 1852 2183 2170 1986 2464 2712 2283 1825
"FAM71D" 464 472 452 378 298 320 394 432
"TMEM229B" 4 6 0 2 8 4 2 4
"ACTN1-AS1" 4 0 2 2 2 0 0 0
"SYNE3" 179 223 206 180 272 247 292 332
