,"PROBEID","ENTREZID","SYMBOL"
1,"38829_r_at",8570,"KHSRP"
2,"1663_at",5916,"RARG"
3,"32041_r_at",988,"CDC5L"
4,"803_at",6884,"TAF13"
5,"36267_at",4795,"NFKBIL1"
6,"39638_at",7023,"TFAP4"
7,"36137_at",1108,"CHD4"
8,"36894_at",23492,"CBX7"
9,"34179_at",9278,"ZBTB22"
10,"41536_at",3400,"ID4"
11,"2068_s_at",1870,"E2F2"
12,"38787_at",5371,"PML"
13,"1073_at",6917,"TCEA1"
14,"1973_s_at",4609,"MYC"
15,"1672_f_at",5925,"RB1"
16,"38311_at",60436,"TGIF2"
17,"633_s_at",7029,"TFDP2"
18,"41788_i_at",9819,"TSC22D2"
19,"32093_at",26038,"CHD5"
20,"34725_at",2909,"ARHGAP35"
21,"31602_at",6911,"TBX6"
22,"38627_at",3131,"HLF"
23,"32447_at",2516,"NR5A1"
24,"31698_at",2303,"FOXC2"
25,"40536_f_at",9669,"EIF5B"
26,"1045_s_at",5970,"RELA"
27,"1955_s_at",4091,"SMAD6"
28,"35563_at",57591,"MKL1"
29,"41763_g_at",7073,"TIAL1"
30,"32327_at",5454,"POU3F2"
31,"32820_at",4850,"CNOT4"
32,"36702_at",9095,"TBX19"
33,"41694_at",661,"POLR3D"
34,"31822_at",1523,"CUX1"
35,"32766_at",2547,"XRCC6"
36,"37995_s_at",2332,"FMR1"
37,"40569_at",7593,"MZF1"
38,"33091_at",3239,"HOXD13"
39,"37364_at",11331,"PHB2"
40,"34601_at",7587,"ZNF37A"
41,"33110_at",6657,"SOX2"
42,"40596_at",6949,"TCOF1"
43,"38532_at",9880,"ZBTB39"
44,"39420_at",1649,"DDIT3"
45,"36722_s_at",3172,"HNF4A"
46,"41371_at",2968,"GTF2H4"
47,"34741_at",7029,"TFDP2"
48,"462_at",4781,"NFIB"
49,"205_g_at",3201,"HOXA4"
50,"33046_f_at",2016,"EMX1"
51,"279_at",3164,"NR4A1"
52,"2040_s_at",25,"ABL1"
53,"32941_at",3394,"IRF8"
54,"1362_s_at",6257,"RXRB"
55,"40543_at",429,"ASCL1"
56,"37681_i_at",9782,"MATR3"
57,"40491_at",51742,"ARID4B"
58,"40523_at",3170,"FOXA2"
59,"31906_at",3281,"HSBP1"
60,"914_g_at",2078,"ERG"
61,"1341_at",6688,"SPI1"
62,"214_at",4487,"MSX1"
63,"37252_at",6618,"SNAPC2"
64,"35475_at",7730,"ZNF177"
65,"35992_at",9242,"MSC"
66,"1133_at",2020,"EN2"
67,"39032_at",8848,"TSC22D1"
68,"544_at",4791,"NFKB2"
69,"33896_at",2033,"EP300"
70,"32285_g_at",6899,"TBX1"
71,"32172_at",23013,"SPEN"
72,"36711_at",23764,"MAFF"
73,"106_at",864,"RUNX3"
74,"603_at",7181,"NR2C1"
75,"35222_at",7626,"ZNF75D"
76,"36058_at",84164,"ASCC2"
77,"39346_at",10657,"KHDRBS1"
78,"40661_at",8013,"NR4A3"
79,"1271_g_at",5970,"RELA"
80,"33108_i_at",6657,"SOX2"
81,"41113_at",26048,"ZNF500"
82,"32191_at",7703,"PCGF2"
83,"1409_at",6722,"SRF"
84,"39261_at",3104,"ZBTB48"
85,"32864_at",6736,"SRY"
86,"40709_at",10778,"ZNF271"
87,"229_at",10153,"CEBPZ"
88,"32045_at",11083,"DIDO1"
89,"41504_s_at",4094,"MAF"
90,"33355_at",5087,"PBX1"
91,"38996_at",2077,"ERF"
92,"547_s_at",4929,"NR4A2"
93,"34979_at",23081,"KDM4C"
94,"639_s_at",6924,"TCEB3"
95,"39218_at",7571,"ZNF23"
96,"39029_at",8896,"BUD31"
97,"34352_at",5092,"PCBD1"
98,"841_at",10215,"OLIG2"
99,"35718_at",3431,"SP110"
100,"33097_at",1053,"CEBPE"
101,"36182_at",324,"APC"
102,"32333_at",256051,"ZNF549"
103,"36472_at",9111,"NMI"
104,"440_at",4782,"NFIC"
105,"39072_at",4601,"MXI1"
106,"39292_r_at",8805,"TRIM24"
107,"41600_at",5036,"PA2G4"
108,"34165_at",26257,"NKX2-8"
109,"40544_g_at",429,"ASCL1"
110,"34313_at",10499,"NCOA2"
111,"1442_at",2100,"ESR2"
112,"32696_at",5090,"PBX3"
113,"711_at",6928,"HNF1B"
114,"287_at",467,"ATF3"
115,"40274_at",1628,"DBP"
116,"559_s_at",3195,"TLX1"
117,"193_at",6880,"TAF9"
118,"32025_at",6934,"TCF7L2"
119,"148_at",22936,"ELL2"
120,"33020_at",4010,"LMX1B"
121,"35114_at",8856,"NR1I2"
122,"41649_at",55810,"FOXJ2"
123,"36943_r_at",5325,"PLAGL1"
124,"39839_at",8531,"YBX3"
125,"1950_s_at",4088,"SMAD3"
126,"39472_s_at",51317,"PHF21A"
127,"36369_at",284119,"PTRF"
128,"36186_at",10921,"RNPS1"
129,"32994_at",51666,"ASB4"
130,"34047_at",5017,"OVOL1"
131,"32267_at",25850,"ZNF345"
132,"32075_at",7541,"ZBTB14"
133,"40981_at",57680,"CHD8"
134,"38641_at",81628,"TSC22D4"
135,"34980_at",23081,"KDM4C"
136,"37501_at",55922,"NKRF"
137,"1337_s_at",5914,"RARA"
138,"36932_at",2976,"GTF3C2"
139,"36999_at",5927,"KDM5A"
140,"37790_at",27287,"VENTX"
141,"33605_at",4821,"NKX2-2"
142,"34251_at",3215,"HOXB5"
143,"566_at",5371,"PML"
144,"37354_at",6672,"SP100"
145,"39153_r_at",8161,"COIL"
146,"36021_at",51176,"LEF1"
147,"35841_at",5441,"POLR2L"
148,"33658_at",7678,"ZNF124"
149,"33045_r_at",2016,"EMX1"
150,"39610_at",3212,"HOXB2"
151,"1044_s_at",1875,"E2F5"
152,"33436_at",6662,"SOX9"
153,"32087_at",3298,"HSF2"
154,"38228_g_at",4286,"MITF"
155,"32474_at",5081,"PAX7"
156,"873_at",3202,"HOXA5"
157,"31947_r_at",2290,"FOXG1"
158,"40849_s_at",10488,"CREB3"
159,"35505_at",8289,"ARID1A"
160,"595_at",7128,"TNFAIP3"
161,"33360_at",22992,"KDM2A"
162,"41065_at",4793,"NFKBIB"
163,"41199_s_at",6421,"SFPQ"
164,"34551_at",5458,"POU4F2"
165,"1781_at",2002,"ELK1"
166,"39554_at",3622,"ING2"
167,"1101_at",322,"APBB1"
168,"38296_at",9477,"MED20"
169,"39180_at",2521,"FUS"
170,"38739_at",2114,"ETS2"
171,"35260_at",22877,"MLXIP"
172,"34933_at",5083,"PAX9"
173,"40328_at",7291,"TWIST1"
174,"1248_at",5437,"POLR2H"
175,"32874_at",6929,"TCF3"
176,"1684_s_at",7490,"WT1"
177,"958_s_at",5438,"POLR2I"
178,"1881_at",2122,"MECOM"
179,"31378_at",5309,"PITX3"
180,"33329_at",4782,"NFIC"
181,"36393_at",8193,"DPF1"
182,"35629_at",57591,"MKL1"
183,"33654_at",129025,"ZNF280A"
184,"32674_at",27332,"ZNF638"
185,"783_at",11059,"WWP1"
186,"38317_at",9338,"TCEAL1"
187,"414_at",3236,"HOXD10"
188,"38476_at",29890,"RBM15B"
189,"41460_at",10432,"RBM14"
190,"510_g_at",4089,"SMAD4"
191,"1318_at",5928,"RBBP4"
192,"1866_g_at",6498,"SKIL"
193,"33474_at",2735,"GLI1"
194,"41699_f_at",23774,"BRD1"
195,"1774_at",4084,"MXD1"
196,"35640_at",862,"RUNX1T1"
197,"32554_s_at",6907,"TBL1X"
198,"33714_at",3149,"HMGB3"
199,"35808_at",6431,"SRSF6"
200,"37618_at",3217,"HOXB7"
201,"32986_s_at",4093,"SMAD9"
202,"33617_s_at",7597,"ZBTB25"
203,"1875_f_at",5387,"PMS2P3"
204,"1476_s_at",4602,"MYB"
205,"33621_at",6928,"HNF1B"
206,"38211_at",26137,"ZBTB20"
207,"40445_at",1999,"ELF3"
208,"319_g_at",8971,"H1FX"
209,"36648_at",9443,"MED7"
210,"39147_g_at",546,"ATRX"
211,"31507_at",8085,"KMT2D"
212,"41867_at",90993,"CREB3L1"
213,"37305_at",2146,"EZH2"
214,"35388_at",3975,"LHX1"
215,"34216_at",8609,"KLF7"
216,"33828_at",6605,"SMARCE1"
217,"1454_at",4088,"SMAD3"
218,"33352_at",8349,"HIST2H2BE"
219,"31797_at",9519,"TBPL1"
220,"33044_f_at",2016,"EMX1"
221,"582_g_at",7181,"NR2C1"
222,"33373_at",NA,NA
223,"39421_at",861,"RUNX1"
224,"669_s_at",3659,"IRF1"
225,"35251_at",3096,"HIVEP1"
226,"40118_at",7551,"ZNF3"
227,"38506_at",6928,"HNF1B"
228,"1535_at",1112,"FOXN3"
229,"1039_s_at",3091,"HIF1A"
230,"1057_at",1382,"CRABP2"
231,"37431_at",9063,"PIAS2"
232,"36618_g_at",3397,"ID1"
233,"39358_at",9612,"NCOR2"
234,"147_at",7251,"TSG101"
235,"40449_at",5981,"RFC1"
236,"1980_s_at",4831,"NME2"
237,"39766_r_at",5440,"POLR2K"
