,Treg.KO,Treg.WT,Memory.KO,Memory.WT,Naive.KO,Naive.WT,Activated.KO,Unactivated.KO,Activated.WT,Unactivated.WT
0710001D07Rik,5.00620814508664,5.14361307833306,4.86099562658235,5.46145614205603,5.56586538278703,5.76370541410898,5.30194991675009,5.44166666440862,4.69315673592695,5.3195167196274
1010001I08Rik,3.56048102195613,3.73929407865915,3.24589843125163,3.11516591543495,3.25851044541175,3.25306008025868,3.42913741063303,3.58184260139374,3.06400267499914,3.38022617030188
1110059G02Rik,6.77078316704125,6.48379136599375,6.27570898939601,5.90464403115133,6.31822242532767,6.25836738156166,4.92762496816985,6.68669530181361,5.65902579012187,7.19368727647391
1500002I01Rik,3.96851178575374,3.73154356747317,3.29077063762468,3.68393800248448,3.35897351560118,3.31553567632608,3.52173403752279,3.22036972990952,3.19092990148031,3.20970500644232
1500002K03Rik,4.74501584488198,4.67436656521541,4.02924548656389,4.27868204467368,4.40247539412732,4.10294103950666,3.70269210874093,3.88566172329311,3.26383286381174,3.71364225972876
1600012P17Rik,6.38097870133682,6.17827396312671,6.36747109284815,6.3388139917835,6.0535613517985,5.97800463205799,6.46446027608849,6.2318336522038,7.22006013760795,6.17336858901986
1600023N17Rik,3.58119630688638,3.4788041859366,3.48293345411373,3.21629137386745,3.47656522102361,3.26818028391655,3.83318661852156,3.5158584273968,3.44393538517543,3.80048359953229
1700007B14Rik,3.24002958466162,3.32671508332899,3.21219980904797,3.27088677865138,3.27802488994388,3.17676535817704,3.00332104012425,2.78474397378484,2.70231684697652,2.76905033161028
1700008J07Rik,3.79755033931592,3.84354951885205,4.07137148444989,4.04852033790687,4.36116907167459,4.21045458366218,4.4021335784676,4.23479088131317,3.91958752732846,4.23448514364875
1700012D14Rik,3.7452276749018,3.84089846493337,4.19142834392951,4.27292406348021,4.38957953558849,4.59797585510305,3.8244391926839,3.69751446341734,3.33486438446009,3.99577552653886
1700013G23Rik,2.98850871928768,2.81612936454498,2.87429554541923,2.89335610487081,2.81195013123442,2.82482287824438,3.40679929920639,2.77586221440131,3.04338920009477,2.82011889294739
1700017N19Rik,3.40698914112287,3.31680340885108,3.57287656000389,3.40679540060385,3.90838427159575,3.3737832475668,3.64606316198141,3.50215809850804,3.26158315534366,3.76394109205021
1700019D03Rik,4.31166026829225,4.02586502926739,5.41860387185206,5.69562856965697,3.56041926179252,3.3724756591159,6.05521052816928,3.20362016569548,5.3732369897002,3.42500574908227
1700028E10Rik,5.18562150526486,5.51285414245481,5.43987009102388,6.29226355188025,6.116855448073,6.18755797113583,4.78143156450409,5.75758690916029,4.1437463213767,7.23453795822337
1700048O20Rik,4.19483862367883,4.15062701014567,5.025399363931,4.21565112289162,4.12321101922543,3.99256925413126,5.36343610755118,3.76012834324001,4.47681790343685,3.72934517609119
1700063H04Rik,3.26605750827341,3.56900850375241,3.2065654304005,3.10581079891006,2.93059870530367,3.51503841451725,3.72439920357988,3.74910243495862,3.30040591525327,3.94176051953831
1700108F19Rik,3.88140450907995,3.642698850702,3.47965439327198,3.61968059575949,3.39159741375468,3.8315868782681,3.21109694783725,2.94517540994744,2.78495536785817,3.0204497463373
1700109F18Rik,3.01113293218637,2.83441467256201,2.80956508311641,2.95428602740541,3.18244043313297,2.98149596856927,3.24146073208453,2.96747518544649,2.91902896274051,3.00500748811236
1700112M01Rik,4.04145721575883,3.96259937760929,4.35787833295518,4.05044324324641,3.947649370854,3.96593134744963,4.69734629823135,4.72849103474824,4.14718164710518,4.30689240544137
1700126A01Rik,3.76880332054331,3.84089846493337,3.99070284119954,4.29235525762463,4.0333137309868,3.93783309838677,3.80048359953229,4.21166051618552,4.5328576750035,4.12773062961746
1810006J02Rik,3.31050208590512,3.83509460471206,3.53342904981108,3.95117484450883,3.62951919924235,4.12123577055549,2.87149345522435,3.85493222345696,3.57716172861636,4.43250218416096
1810021B22Rik,4.98255200505634,4.7628034227348,5.50150848888843,5.24435937060861,5.3523037850035,5.24036680691909,5.13082410523427,5.33251934216991,4.63998748843541,5.4409646493631
2010007H06Rik,2.95212610929021,2.96523369219666,3.68616725633298,3.78938364241745,3.43657734436474,3.37463734558258,4.10695344133566,3.4124450605176,4.78235473914394,3.69163420521149
2010107G12Rik,3.72149587454704,3.78794845801719,3.84145168026834,4.03783362514451,3.75015877966095,4.08835354926966,3.54989412814271,3.35734562732254,3.11427842970163,3.47491225075327
2200002D01Rik,4.865605001262,4.51747989160622,5.58983367361426,5.31477331052609,5.60197609613873,5.44609923768042,5.10315541311225,5.07329376963101,4.57053261770545,4.77322793433195
2210409O19Rik,3.16240971482379,3.04403735378648,3.32191620626357,3.56895033079463,3.41314634182274,3.25675055182253,3.44650345516573,3.53212484598143,3.90872273108644,3.4789845526801
2310040G07Rik,4.89950191792453,5.00755610137211,4.2467810962317,4.29347282879009,4.49290453985814,4.57148898061982,4.47893834583571,4.43896375696472,4.07006160277033,4.52939279626833
2410018L13Rik,3.02745768025521,3.35890635483142,2.90988649665532,3.03240573469351,2.86877913836071,3.0287788051206,3.21392902447936,2.95431496137043,2.91503844082836,2.82658482019407
2510009E07Rik,7.56919532037433,8.06889380686051,6.25163341583076,6.82752092713651,7.4326538007284,7.04323547718843,4.27941531566307,7.16534754484414,5.04386188404484,6.91779110796945
2610020H08Rik,2.71797627763761,2.9549706389414,3.12111460865324,2.89340258083585,3.08185239674557,3.26741400134415,3.40035081878697,2.83132891266923,3.05246783020011,3.11427842970163
2610037D02Rik,4.31714178488881,4.32322893079619,4.25395862462016,4.28092536957923,4.23694998608994,4.43568421530885,4.56142275888878,4.25160823249126,4.10138611860639,4.34977610784161
2700081L22Rik,4.02835080583376,4.07615257087119,4.36548822397807,4.21922322802993,4.2584167883602,4.3798465051887,4.80049982745059,3.97484603151929,4.24507591165539,4.00196826298065
2810006K23Rik,4.20225702455703,4.16363163718085,3.7224194899865,4.26787140106789,3.84034250178978,3.60608817099676,3.81103394956621,3.74400040468294,4.26785968778718,3.83271375974402
2810403D21Rik,3.84381622242135,3.87933844662627,4.19628175543136,4.42528230952071,4.4073304161272,4.40132357267526,4.22641983646006,4.04414190554436,4.73196203100798,4.1984583354803
2810410L24Rik,4.907412769107,5.01130159244371,4.28880687954572,4.77227621986175,5.49819178332685,5.86387249329401,4.96967418420089,5.16216482150701,4.43271269855983,5.624241047532
2810414N06Rik,2.96254888631967,2.9858076068091,2.92629369281031,2.79225956505015,2.91944950416106,2.99528037625319,3.01083603108001,2.83970819963148,2.70963363267481,2.86299737215683
2810454H06Rik,5.75896523761796,5.50735095624969,5.65436874569035,5.38901412569455,5.52149565605397,5.66710520065176,4.98638400920416,5.47699747273221,5.60341005478018,5.67952546081328
2810487C13Rik,3.21892821180225,3.17032316288036,3.06371945385593,3.54655841124037,3.27085269272872,3.3724756591159,3.39237096435516,3.19073515723413,3.0204497463373,3.43319449298205
2900042A17Rik,3.88985818402471,3.93591043435674,4.08087851042064,3.91219600597549,4.05460525806542,4.44353216240581,3.43735922963227,3.83819085366378,3.98271319289425,4.22751700903789
2900064B18Rik,3.85002723387223,3.75653339135774,3.78694779397609,4.27487474643056,4.77932782207869,4.53142789963273,3.55638218162299,4.73397244494756,3.2023607535348,4.64135506685611
2900064F13Rik,3.21918408814469,3.27073302271019,3.72371143440636,3.49239646294832,3.12982775589505,3.44461280100646,3.4829007749631,3.40814711240614,3.10847943634177,3.14717119096449
3110052M02Rik,4.48520605680206,5.03351607417633,3.86109430567335,4.18276176391035,3.93024306839296,4.55994924124282,4.65866581426564,4.71173179335429,5.20211031590637,5.66964302802897
4732440D04Rik,3.24956598235474,3.12509874815058,3.22163087938451,3.04692634006617,2.89558833372655,3.7652223226331,3.49565404514046,3.43406614634673,3.12969274262737,3.66635533725434
4732491K20Rik,3.52285020640505,3.39178571913772,3.59135234372503,3.5140857173804,3.4510489266737,3.37214680623213,3.51900345038362,3.42358129000401,4.04774927293758,3.50318456408958
4833406M21Rik,3.89500492935707,3.88610622043869,4.15441061448622,3.75148106075339,3.607263808132,3.91158931833736,4.34583343233181,4.07364761762114,3.91845608065604,3.66383183478977
